step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_paf,losses/eval.bodypart_total_loss,losses/eval.identity_heatmap,losses/eval.identity_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_paf,losses/train.bodypart_total_loss,losses/train.identity_heatmap,losses/train.identity_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,,,,0.2422580122947693,0.6933883428573608,0.27433931827545166,0.10145378112792969,0.25707969069480896,0.25707969069480896,0.17926673591136932,,,,
2,,,,,,,,0.020442882552742958,0.5908060669898987,0.12379571795463562,0.020787587389349937,0.023078329861164093,0.023078329861164093,0.02193295769393444,,,,
3,,,,,,,,0.017194218933582306,0.5852916240692139,0.04356154426932335,0.01693831942975521,0.019735274836421013,0.019735274836421013,0.018336797133088112,,,,
4,,,,,,,,0.013349989429116249,0.5822331309318542,0.020766858011484146,0.014846110716462135,0.015367444604635239,0.015367444604635239,0.015106775797903538,,,,
5,,,,,,,,0.018770717084407806,0.581779420375824,0.013991016894578934,0.01641959697008133,0.021796677261590958,0.021796677261590958,0.019108138978481293,,,,
6,,,,,,,,0.015605676919221878,0.579137921333313,0.01626872643828392,0.015396482311189175,0.01845727115869522,0.01845727115869522,0.016926877200603485,,,,
7,,,,,,,,0.016826914623379707,0.5782274603843689,0.011207062751054764,0.015619664452970028,0.019718112424016,0.019718112424016,0.017668887972831726,,,,
8,,,,,,,,0.014595812186598778,0.5786651968955994,0.008385383524000645,0.01478920504450798,0.017787186428904533,0.017787186428904533,0.016288194805383682,,,,
9,,,,,,,,0.012422239407896996,0.5764980912208557,0.008220219053328037,0.01402305718511343,0.01536771934479475,0.01536771934479475,0.01469538826495409,,,,
10,0.0048312535509467125,0.5768352746963501,0.004263279493898153,0.011366448365151882,0.006378387566655874,0.006378387566655874,0.008872417733073235,0.011841180734336376,0.5755094885826111,0.0071410671807825565,0.013776921667158604,0.01475474238395691,0.01475474238395691,0.014265831559896469,0.0,0.0,279.7863938292941,nan
11,,,,,,,,0.012223577126860619,0.5737209916114807,0.006207020953297615,0.013843444176018238,0.015131119638681412,0.015131119638681412,0.014487281441688538,,,,
12,,,,,,,,0.014036384411156178,0.5706276297569275,0.006537194829434156,0.014407161623239517,0.01808692328631878,0.01808692328631878,0.016247041523456573,,,,
13,,,,,,,,0.011914234608411789,0.5653313994407654,0.005797028541564941,0.013586835004389286,0.015469174832105637,0.015469174832105637,0.014528005383908749,,,,
14,,,,,,,,0.012079075910151005,0.5602436065673828,0.006230796687304974,0.013571446761488914,0.015776483342051506,0.015776483342051506,0.014673964120447636,,,,
15,,,,,,,,0.012982276268303394,0.5519303679466248,0.008624357171356678,0.013813742436468601,0.016701458021998405,0.016701458021998405,0.015257599763572216,,,,
16,,,,,,,,0.013798546977341175,0.5449400544166565,0.007283337414264679,0.013924628496170044,0.01786373183131218,0.01786373183131218,0.015894180163741112,,,,
17,,,,,,,,0.014048213139176369,0.5348964929580688,0.005997573025524616,0.013797597028315067,0.01797974854707718,0.01797974854707718,0.015888674184679985,,,,
18,,,,,,,,0.010888252407312393,0.5205256938934326,0.007409617304801941,0.012551832012832165,0.013910227455198765,0.013910227455198765,0.013231029734015465,,,,
19,,,,,,,,0.010396362282335758,0.5072630047798157,0.005398711655288935,0.0120997941121459,0.013070068322122097,0.013070068322122097,0.012584933079779148,,,,
20,0.003919108770787716,0.4894193112850189,0.003367580473423004,0.009575610980391502,0.005341588985174894,0.005341588985174894,0.007458600215613842,0.010323642753064632,0.4929322898387909,0.004583468195050955,0.011809534393250942,0.013684428296983242,0.013684428296983242,0.012746983207762241,1.8538853885388535,5.2,134.9925850725174,nan
21,,,,,,,,0.011445721611380577,0.4854990243911743,0.004577442537993193,0.012059473432600498,0.014775334857404232,0.014775334857404232,0.01341740507632494,,,,
22,,,,,,,,0.010953999124467373,0.4772591292858124,0.0046591623686254025,0.011760956607758999,0.014355376362800598,0.014355376362800598,0.01305816788226366,,,,
23,,,,,,,,0.011690744198858738,0.45302408933639526,0.004474719520658255,0.01159647200256586,0.015665913000702858,0.015665913000702858,0.013631193898618221,,,,
24,,,,,,,,0.011129217222332954,0.445513516664505,0.0039744991809129715,0.011267446912825108,0.01495082676410675,0.01495082676410675,0.013109136372804642,,,,
25,,,,,,,,0.009740466251969337,0.43589505553245544,0.0033896416425704956,0.010624728165566921,0.013416949659585953,0.013416949659585953,0.01202083844691515,,,,
26,,,,,,,,0.00836482085287571,0.42553359270095825,0.003007063176482916,0.00998073723167181,0.011525362730026245,0.011525362730026245,0.010753050446510315,,,,
27,,,,,,,,0.01028699055314064,0.4162352383136749,0.0031341880094259977,0.010470723733305931,0.013949436135590076,0.013949436135590076,0.012210080400109291,,,,
28,,,,,,,,0.009699935093522072,0.4134320318698883,0.0032619109842926264,0.010232576169073582,0.013477223925292492,0.013477223925292492,0.011854899115860462,,,,
29,,,,,,,,0.01066878903657198,0.40133923292160034,0.0033904998563230038,0.010358267463743687,0.015174017287790775,0.015174017287790775,0.012766143307089806,,,,
