step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.0011787093244493008,0.5607648491859436,0.014608475379645824,0.014608475379645824,,,,
2,,,,,0.0008483391138724983,0.5010941624641418,0.012951523065567017,0.012951523065567017,,,,
3,,,,,0.0007007286767475307,0.43906301259994507,0.011326940730214119,0.011326940730214119,,,,
4,,,,,0.0007190563483163714,0.3900267481803894,0.010110197588801384,0.010110197588801384,,,,
5,,,,,0.0007066965335980058,0.3573703467845917,0.009287607856094837,0.009287607856094837,,,,
6,,,,,0.0006291681784205139,0.33155155181884766,0.008603373542428017,0.008603373542428017,,,,
7,,,,,0.000598674756474793,0.32249754667282104,0.008361776359379292,0.008361776359379292,,,,
8,,,,,0.0006716381758451462,0.30315905809402466,0.007914794608950615,0.007914794608950615,,,,
9,,,,,0.0006614798330701888,0.3052977919578552,0.00796318519860506,0.00796318519860506,,,,
10,0.0001197341043734923,0.35897305607795715,0.009034194052219391,0.009034194052219391,0.0006539205787703395,0.3025739789009094,0.007891310378909111,0.007891310378909111,15.138613861386139,19.411764705882355,344.69981166294644,12.147491455078125
11,,,,,0.0006167137180455029,0.28399205207824707,0.007408158387988806,0.007408158387988806,,,,
12,,,,,0.0006135223666206002,0.28110480308532715,0.007334382273256779,0.007334382273256779,,,,
13,,,,,0.0006020873552188277,0.2751305103302002,0.0071793063543736935,0.0071793063543736935,,,,
14,,,,,0.0006080067832954228,0.28171294927597046,0.007346826605498791,0.007346826605498791,,,,
15,,,,,0.0005181190790608525,0.26732227206230164,0.0069421157240867615,0.0069421157240867615,,,,
16,,,,,0.0005813343450427055,0.26512712240219116,0.0069188447669148445,0.0069188447669148445,,,,
17,,,,,0.000553727732039988,0.2637706696987152,0.006871131248772144,0.006871131248772144,,,,
18,,,,,0.0005308894906193018,0.25711846351623535,0.006693406496196985,0.006693406496196985,,,,
19,,,,,0.00047964471741579473,0.2513919472694397,0.006524621043354273,0.006524621043354273,,,,
20,9.298574877902865e-05,0.3401995301246643,0.008551480248570442,0.008551480248570442,0.0005328823463059962,0.2588454782962799,0.0067375777289271355,0.0067375777289271355,22.661595829912663,26.470588235294112,267.29098074776783,18.345629010881698
21,,,,,0.0005450827302411199,0.24803610146045685,0.006473444402217865,0.006473444402217865,,,,
22,,,,,0.0004709014610853046,0.24520888924598694,0.006365672685205936,0.006365672685205936,,,,
23,,,,,0.0005009954911656678,0.2495701014995575,0.006489749997854233,0.006489749997854233,,,,
24,,,,,0.0005014586495235562,0.2658993601799011,0.006898212246596813,0.006898212246596813,,,,
25,,,,,0.0005227425135672092,0.2579251527786255,0.006709500215947628,0.006709500215947628,,,,
26,,,,,0.00048464792780578136,0.2457152158021927,0.006385204382240772,0.006385204382240772,,,,
27,,,,,0.0004865800146944821,0.23432445526123047,0.0061014010570943356,0.0061014010570943356,,,,
28,,,,,0.0004603765846695751,0.23964910209178925,0.006221415009349585,0.006221415009349585,,,,
29,,,,,0.0004982248647138476,0.23852936923503876,0.006212346721440554,0.006212346721440554,,,,
30,0.00011119461851194501,0.31873324513435364,0.008023928850889206,0.008023928850889206,0.0004965489497408271,0.223317950963974,0.005831223446875811,0.005831223446875811,23.147100424328144,25.294117647058822,349.505126953125,8.950912475585938
31,,,,,0.00044333451660349965,0.23713800311088562,0.006150117143988609,0.006150117143988609,,,,
32,,,,,0.0004837392771150917,0.2321241796016693,0.006044974084943533,0.006044974084943533,,,,
33,,,,,0.0004417065065354109,0.2178734838962555,0.005667690187692642,0.005667690187692642,,,,
34,,,,,0.0004157121293246746,0.21570298075675964,0.005600431002676487,0.005600431002676487,,,,
35,,,,,0.00042007799493148923,0.2183467596769333,0.005668708123266697,0.005668708123266697,,,,
36,,,,,0.00043424079194664955,0.23154906928539276,0.0060058468952775,0.0060058468952775,,,,
37,,,,,0.00044950228766538203,0.22520676255226135,0.005854920018464327,0.005854920018464327,,,,
38,,,,,0.0004206789599265903,0.2370012253522873,0.006135370582342148,0.006135370582342148,,,,
39,,,,,0.0004962333478033543,0.23851624131202698,0.006211022846400738,0.006211022846400738,,,,
40,9.020144352689385e-05,0.31723853945732117,0.007976063527166843,0.007976063527166843,0.00043584700324572623,0.2323894500732422,0.006027660332620144,0.006027660332620144,31.373762376237625,35.882352941176464,300.5780552455357,9.081003824869791
41,,,,,0.00042385965934954584,0.22215256094932556,0.0057657440192997456,0.0057657440192997456,,,,
42,,,,,0.00045017804950475693,0.22865352034568787,0.0059414273127913475,0.0059414273127913475,,,,
43,,,,,0.00043568681576289237,0.21623048186302185,0.0056236060336232185,0.0056236060336232185,,,,
44,,,,,0.00043208274291828275,0.22206862270832062,0.005767757073044777,0.005767757073044777,,,,
45,,,,,0.0004359373706392944,0.21467503905296326,0.00558484485372901,0.00558484485372901,,,,
46,,,,,0.0003845015889964998,0.20447036623954773,0.00530401011928916,0.00530401011928916,,,,
47,,,,,0.0004380377067718655,0.21034379303455353,0.005477613303810358,0.005477613303810358,,,,
48,,,,,0.0004188792372588068,0.21258842945098877,0.005524150095880032,0.005524150095880032,,,,
49,,,,,0.00041512236930429935,0.2063184231519699,0.005365521181374788,0.005365521181374788,,,,
50,7.679558621020988e-05,0.30019763112068176,0.007543339394032955,0.007543339394032955,0.00039872628985904157,0.21224036812782288,0.005505372770130634,0.005505372770130634,39.50675067506751,43.52941176470589,254.16946847098214,8.147203826904297
51,,,,,0.00039658864261582494,0.19554801285266876,0.005086994729936123,0.005086994729936123,,,,
52,,,,,0.00038003333611413836,0.20307044684886932,0.0052667781710624695,0.0052667781710624695,,,,
53,,,,,0.00038893535383976996,0.21256034076213837,0.005508475936949253,0.005508475936949253,,,,
54,,,,,0.00035480651422403753,0.20236769318580627,0.005236596334725618,0.005236596334725618,,,,
55,,,,,0.00039044555160216987,0.19863148033618927,0.005161009728908539,0.005161009728908539,,,,
56,,,,,0.0003507191431708634,0.20909300446510315,0.005402684211730957,0.005402684211730957,,,,
57,,,,,0.0003902604803442955,0.21121235191822052,0.005475438665598631,0.005475438665598631,,,,
58,,,,,0.00039277467294596136,0.21570372581481934,0.005588979925960302,0.005588979925960302,,,,
59,,,,,0.00037746859015896916,0.20213612914085388,0.005242138169705868,0.005242138169705868,,,,
60,7.062705117277801e-05,0.28251853585243225,0.0070982761681079865,0.0070982761681079865,0.00037790837814100087,0.19768035411834717,0.005130962934345007,0.005130962934345007,41.38322655794992,50.0,162.00123814174108,8.682729721069336
61,,,,,0.00037358119152486324,0.19488844275474548,0.005059001501649618,0.005059001501649618,,,,
62,,,,,0.00036727305268868804,0.18523380160331726,0.004814482294023037,0.004814482294023037,,,,
63,,,,,0.0003903599863406271,0.18707157671451569,0.004871969111263752,0.004871969111263752,,,,
64,,,,,0.0004062274529132992,0.1951630562543869,0.005082190036773682,0.005082190036773682,,,,
65,,,,,0.0003742180415429175,0.21456678211688995,0.0055512795224785805,0.0055512795224785805,,,,
66,,,,,0.0003451431111898273,0.19709427654743195,0.005099928472191095,0.005099928472191095,,,,
67,,,,,0.00036752689629793167,0.20423416793346405,0.005289617460221052,0.005289617460221052,,,,
68,,,,,0.0004218924732413143,0.21370573341846466,0.005553589668124914,0.005553589668124914,,,,
69,,,,,0.0003890480729751289,0.19401752948760986,0.005044962279498577,0.005044962279498577,,,,
70,9.01564271771349e-05,0.32577481865882874,0.008189448155462742,0.008189448155462742,0.0003679277724586427,0.19311082363128662,0.005011734552681446,0.005011734552681446,37.56692055760198,43.52941176470588,197.25892857142858,9.815475990032327
71,,,,,0.0003444032627157867,0.20120441913604736,0.005202312488108873,0.005202312488108873,,,,
72,,,,,0.00036106136394664645,0.18216368556022644,0.004734623245894909,0.004734623245894909,,,,
73,,,,,0.00036047413595952094,0.17848047614097595,0.004642249085009098,0.004642249085009098,,,,
74,,,,,0.00036807500873692334,0.19704610109329224,0.005110190249979496,0.005110190249979496,,,,
75,,,,,0.00035278755240142345,0.19745184481143951,0.005112689919769764,0.005112689919769764,,,,
76,,,,,0.0003706839052028954,0.1882144659757614,0.004890703596174717,0.004890703596174717,,,,
77,,,,,0.00035107164876535535,0.19303473830223083,0.005001404322683811,0.005001404322683811,,,,
78,,,,,0.00033138858270831406,0.20836639404296875,0.005374854896217585,0.005374854896217585,,,,
79,,,,,0.00034337854594923556,0.18090525269508362,0.004694320727139711,0.004694320727139711,,,,
80,7.60035909479484e-05,0.28712067008018494,0.007216019090265036,0.007216019090265036,0.00040066157816909254,0.18462321162223816,0.004815911408513784,0.004815911408513784,40.80967101235011,48.823529411764696,220.60696847098214,8.357051475375306
81,,,,,0.00033407501177862287,0.17680245637893677,0.004587098956108093,0.004587098956108093,,,,
82,,,,,0.0003619999042712152,0.17280687391757965,0.004501171875745058,0.004501171875745058,,,,
83,,,,,0.00037161685759201646,0.17854073643684387,0.004649327136576176,0.004649327136576176,,,,
84,,,,,0.0003767015296034515,0.17661608755588531,0.0046037533320486546,0.0046037533320486546,,,,
85,,,,,0.00035306098288856447,0.18810787796974182,0.004879227373749018,0.004879227373749018,,,,
86,,,,,0.000354900024831295,0.17278878390789032,0.004497169516980648,0.004497169516980648,,,,
87,,,,,0.0003187920374330133,0.18292178213596344,0.0047324406914412975,0.0047324406914412975,,,,
88,,,,,0.000363943021511659,0.16928324103355408,0.004414052702486515,0.004414052702486515,,,,
89,,,,,0.00032104889396578074,0.17315387725830078,0.004489371553063393,0.004489371553063393,,,,
90,9.379472612636164e-05,0.340835839509964,0.008567793294787407,0.008567793294787407,0.00031393454992212355,0.183539479970932,0.004745454527437687,0.004745454527437687,35.24465633376524,41.17647058823529,262.3596714564732,8.770971025739398
91,,,,,0.00032462613307870924,0.18026377260684967,0.0046689072623848915,0.0046689072623848915,,,,
92,,,,,0.0003071591490879655,0.16026048362255096,0.0041600922122597694,0.0041600922122597694,,,,
